sk_driver,driver_code,last_name,first_name,gender,birth_date,hire_date,experience_years,license_type,phone,salary_monthly,availability,status,country_code
34,DRV-DE-016,Dubois,Sofia,F,1996-04-16,2021-04-16,14,C,+497000015,2971.0,Available,Active,DE
35,DRV-DE-017,Schmidt,Daniel,F,1987-02-02,2015-02-02,20,CE,+497000016,2237.0,Busy,Active,DE
36,DRV-DE-018,Garcia,Alex,F,1977-02-23,2013-02-23,20,CE,+497000017,3977.0,Busy,Active,DE
37,DRV-ES-001,Rossi,Lucas,M,1985-07-01,2012-07-01,13,C,+347000000,3910.0,Available,Active,ES
38,DRV-ES-002,Martin,Lucas,M,1983-09-24,2020-09-24,11,C1E,+347000001,2808.0,Leave,Active,ES
39,DRV-ES-003,Lopez,Sofia,M,1987-05-17,2018-05-17,15,CE,+347000002,2612.0,Busy,Active,ES
40,DRV-ES-004,Schmidt,Sofia,F,1991-06-09,2021-06-09,4,C1E,+347000003,2541.0,Leave,Active,ES
41,DRV-ES-005,Bernard,Nora,F,1975-04-07,2023-04-07,18,C,+347000004,2575.0,Available,Active,ES
42,DRV-ES-006,Bernard,Emma,F,1986-12-21,2023-12-21,14,C1E,+347000005,3111.0,Leave,Active,ES
43,DRV-ES-007,Schmidt,Daniel,F,1997-02-23,2011-02-23,20,CE,+347000006,3797.0,Busy,Active,ES
44,DRV-ES-008,Martin,Lucas,M,1986-09-15,2010-09-15,19,C1E,+347000007,2736.0,Leave,Active,ES
45,DRV-ES-009,Bernard,Nora,F,1978-04-22,2023-04-22,6,C,+347000008,3103.0,Available,Active,ES
46,DRV-ES-010,Lopez,Hugo,M,1978-09-12,2010-09-12,11,C1E,+347000009,3228.0,Leave,Active,ES
47,DRV-ES-011,Muller,Marta,M,1993-11-08,2016-11-08,21,CE,+347000010,3818.0,Busy,Active,ES
48,DRV-ES-012,Lopez,Sofia,M,1995-05-11,2022-05-11,3,CE,+347000011,3020.0,Busy,Active,ES
49,DRV-ES-013,Bernard,Lucas,F,1976-08-20,2015-08-20,14,CE,+347000012,3551.0,Busy,Active,ES
50,DRV-ES-014,Rossi,Emma,M,1984-11-14,2012-11-14,17,CE,+347000013,3734.0,Busy,Active,ES
51,DRV-ES-015,Garcia,Alex,F,1993-02-17,2023-02-17,16,CE,+347000014,3593.0,Busy,Active,ES
52,DRV-ES-016,Bernard,Nora,F,1989-04-01,2013-04-01,22,C,+347000015,2839.0,Available,Active,ES
53,DRV-ES-017,Schmidt,Sofia,F,1996-06-06,2021-06-06,4,C1E,+347000016,2421.0,Leave,Active,ES
54,DRV-ES-018,Dubois,Marta,F,1986-12-06,2013-12-06,14,C1E,+347000017,3411.0,Leave,Active,ES
